zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 75001,3.8,11.4,72512,87472,10.9
ZCTA5 75002,1.4,5.2,101429,125779,4.9
ZCTA5 75006,2.1,12.3,64462,85788,10.8
ZCTA5 75007,1.8,6.6,86648,102783,6.7
ZCTA5 75009,1.2,6.1,111146,144513,4
ZCTA5 75010,2.2,7.7,85946,107161,6.3
ZCTA5 75013,1,4.5,130509,158284,3.5
ZCTA5 75019,0.8,3.2,118740,153906,2.7
ZCTA5 75020,3.1,15,50081,68030,13.9
ZCTA5 75021,5.8,13.9,45941,67642,14.9
ZCTA5 75022,1,3.9,162351,192333,3
ZCTA5 75023,1.4,7.8,90193,107372,6.5
ZCTA5 75024,1,4.1,102524,133865,3.9
ZCTA5 75025,1,4.6,118505,146518,3.9
ZCTA5 75028,0.8,2.6,127931,144880,2.5
ZCTA5 75032,1.7,5.7,109080,143042,4.5
ZCTA5 75034,1,4.4,117707,152188,4.1
ZCTA5 75035,0.9,3,134636,152630,2.9
ZCTA5 75038,3.1,14.4,61692,79820,13.8
ZCTA5 75039,1.4,4.4,92224,119740,3.7
ZCTA5 75040,2.1,11,63924,76342,10.8
ZCTA5 75041,3.9,23.9,50395,68301,22
ZCTA5 75042,3.5,21.5,50549,63579,19
ZCTA5 75043,2.5,10.4,63331,76268,10.3
ZCTA5 75044,2,10.5,69254,93258,9.1
ZCTA5 75048,2.1,3.2,102096,117453,3
ZCTA5 75050,2.5,17.4,58567,71336,14.8
ZCTA5 75051,3.6,21.5,42922,52516,19.4
ZCTA5 75052,1.5,7.6,78660,90904,7.1
ZCTA5 75054,2.7,6.8,133802,145903,4.8
ZCTA5 75056,1.9,6.7,89252,120321,6.1
ZCTA5 75057,4.6,13.2,57216,71254,13.6
ZCTA5 75058,3.9,8,98750,125152,6.6
ZCTA5 75060,2.5,17.6,57907,70295,15.2
ZCTA5 75061,2.3,18,49400,62461,16.3
ZCTA5 75062,1.9,15,55392,72960,12.4
ZCTA5 75063,1.5,7.1,96053,118452,6.2
ZCTA5 75065,4.8,7.5,75266,91681,9.3
ZCTA5 75067,2.1,10.5,63939,78251,10.1
ZCTA5 75068,1.6,5.1,104692,115482,4.5
ZCTA5 75069,2.7,16.2,58106,89683,15
ZCTA5 75070,0.7,4.5,102650,123779,3.7
ZCTA5 75071,1.5,6.8,103982,122256,6.4
ZCTA5 75074,2.5,12.3,70680,91110,12.2
ZCTA5 75075,2.2,10.2,80603,100435,9.5
ZCTA5 75076,5.5,12.1,53267,80845,11.9
ZCTA5 75077,1.2,6.6,108687,135016,5.1
ZCTA5 75078,0.6,2.7,151066,182622,2
ZCTA5 75080,3.5,13.4,77736,101254,14.4
ZCTA5 75081,2.8,10.2,77174,93298,9.8
ZCTA5 75082,2.2,5.1,118929,144432,4.7
ZCTA5 75087,1.6,4,103423,118746,3.5
ZCTA5 75088,2.2,5.2,93703,108672,5.6
ZCTA5 75089,2.9,7.9,107111,118354,6.9
ZCTA5 75090,4.4,23.3,42130,54890,21.3
ZCTA5 75092,1.9,12.4,56855,74610,9.3
ZCTA5 75093,1.3,5.9,112930,168714,5
ZCTA5 75094,2.7,4.9,125990,147716,4.1
ZCTA5 75098,2,7.2,94641,103923,6.5
ZCTA5 75101,7.4,21.8,47143,50048,17.3
ZCTA5 75102,7,17.2,53929,58596,12.2
ZCTA5 75103,2.8,10,61083,83102,9.5
ZCTA5 75104,2.5,10.9,73171,88892,10
ZCTA5 75105,2.7,4.3,42212,45722,2.5
ZCTA5 75109,5.6,15.6,58813,80928,13.9
ZCTA5 75110,4.1,20.2,44906,63931,17.9
ZCTA5 75114,2.9,7.6,75673,91825,6.2
ZCTA5 75115,3.3,9.4,72084,86023,10.3
ZCTA5 75116,5.5,17.6,45827,58023,17.7
ZCTA5 75117,7.9,15.6,54877,76167,13.2
ZCTA5 75119,3.3,14.4,60229,73573,13.9
ZCTA5 75124,3.7,14.4,54432,67211,12.2
ZCTA5 75125,7.3,14.5,63927,66887,14.8
ZCTA5 75126,1.3,6.7,99729,104851,5.4
ZCTA5 75127,6.3,21.2,44722,57838,18.3
ZCTA5 75132,5.7,0,76765,80601,0
ZCTA5 75134,5.7,21.1,54140,63900,20.9
ZCTA5 75135,3.3,6.2,78580,84559,5.3
ZCTA5 75137,3.7,10.6,65291,81945,10.2
ZCTA5 75140,4.9,19.2,48031,59124,16.6
ZCTA5 75141,11.1,35.7,35707,55092,35.2
ZCTA5 75142,3.5,20.6,55700,73492,18.1
ZCTA5 75143,2.8,15.5,50390,66275,13.6
ZCTA5 75144,8.1,23.4,44219,59917,23.9
ZCTA5 75146,3.9,10.5,60701,73844,10.4
ZCTA5 75147,6.1,19.2,43154,68235,17.5
ZCTA5 75148,6.9,26.5,36648,50250,26.2
ZCTA5 75149,2.6,19.6,50648,60226,17.3
ZCTA5 75150,1.9,14.9,54440,65031,12.5
ZCTA5 75152,9.1,13.6,67460,84355,12.7
ZCTA5 75153,23.3,3.9,54038,63507,2.5
ZCTA5 75154,2.3,9.5,78699,93171,9.1
ZCTA5 75155,5.2,11.5,53698,62915,12.1
ZCTA5 75156,4.9,23.6,47857,74194,20.6
ZCTA5 75157,17.9,28.9,40500,51621,28.9
ZCTA5 75158,6.4,16.1,63750,80978,16.4
ZCTA5 75159,5.4,15.2,55712,72139,13.5
ZCTA5 75160,3.5,18.8,54596,74715,17.4
ZCTA5 75161,5.6,13.7,58125,71511,11.2
ZCTA5 75163,8.4,15.3,40806,50784,13.1
ZCTA5 75164,9.7,14.7,48656,66307,14.1
ZCTA5 75165,2.2,12.4,69827,89209,11.3
ZCTA5 75166,1.7,1.6,93047,106679,1.9
ZCTA5 75167,1.2,2.7,104907,122490,2.1
ZCTA5 75169,3.5,18.1,47674,66891,15.4
ZCTA5 75172,9.7,25.4,44891,49578,29
ZCTA5 75173,3.7,10.6,79150,97415,8.1
ZCTA5 75180,5.2,19.6,50278,60354,18.8
ZCTA5 75181,1.9,5.3,88149,93618,4.3
ZCTA5 75182,3.2,6.5,136118,156708,4.9
ZCTA5 75189,1.7,5.8,90694,104471,4.7
ZCTA5 75201,3.5,13.5,97104,139620,14.1
ZCTA5 75202,9.5,18.7,79766,102286,15.6
ZCTA5 75203,4.6,30.8,39285,56641,27
ZCTA5 75204,2.2,16.4,81529,112921,14.6
ZCTA5 75205,1.8,6.2,156636,275572,5.5
ZCTA5 75206,2.3,12.5,71135,104625,13
ZCTA5 75207,6.5,9.2,87480,119927,7.9
ZCTA5 75208,2.7,16,63277,96005,13.8
ZCTA5 75209,5.6,5.7,95112,158441,6.3
ZCTA5 75210,7.3,42,28269,38115,35
ZCTA5 75211,2.7,27,44893,57611,23.6
ZCTA5 75212,3.5,28.3,36212,47461,25.5
ZCTA5 75214,1.8,8.2,89719,148195,8.3
ZCTA5 75215,4.8,31.1,30865,46142,29.1
ZCTA5 75216,3,34.5,27288,39221,33
ZCTA5 75217,2.6,29.5,40475,48362,26.8
ZCTA5 75218,2.6,6.3,83851,119873,6.2
ZCTA5 75219,2.8,11.8,72559,117631,11.3
ZCTA5 75220,2.9,19.5,47111,89528,17.2
ZCTA5 75223,5.5,27.7,50286,69327,24
ZCTA5 75224,3.4,25.1,42663,56289,22.1
ZCTA5 75225,1.8,4,161296,288854,3.3
ZCTA5 75226,5.9,37.1,49115,60085,33.1
ZCTA5 75227,2.8,23.2,43890,53687,21.8
ZCTA5 75228,2.9,24.2,42243,57260,21.9
ZCTA5 75229,1.7,8.7,100144,167743,7.4
ZCTA5 75230,1.3,6.6,91596,196645,5.2
ZCTA5 75231,2.8,25.3,41806,68726,21.8
ZCTA5 75232,5.1,25.8,40103,52297,25.4
ZCTA5 75233,5.8,21.2,51062,62110,18.9
ZCTA5 75234,1.8,8.3,71118,93735,7.3
ZCTA5 75235,5.1,26.7,48603,59280,20.4
ZCTA5 75236,4.6,18.3,43279,58794,16
ZCTA5 75237,4.7,34.6,27970,35433,32.1
ZCTA5 75238,2.4,11.4,70593,107107,10.7
ZCTA5 75240,3,24.6,51569,77180,18.6
ZCTA5 75241,6.2,29.5,32313,44411,29.6
ZCTA5 75243,2.8,23.5,41786,63650,22.5
ZCTA5 75244,2.1,3.1,95711,135893,3.9
ZCTA5 75246,9.1,58.4,24803,45376,48.1
ZCTA5 75247,13.5,12.7,18568,29712,64.9
ZCTA5 75248,1.6,6.6,86938,132866,5.6
ZCTA5 75249,4.3,10.7,64246,75466,10
ZCTA5 75251,9.8,12.1,69028,72578,13.8
ZCTA5 75252,4.1,17.3,63053,104930,16.4
ZCTA5 75253,5.4,25.1,48174,56714,23.2
ZCTA5 75254,3.5,18,54122,84082,15.4
ZCTA5 75270,**,-,-,-,-
ZCTA5 75287,2.1,11.5,52150,79138,11.1
ZCTA5 75390,**,-,-,-,-
ZCTA5 75401,4.6,23.4,36727,49515,22.1
ZCTA5 75402,3.3,10.8,65972,84640,11.2
ZCTA5 75407,3.3,8.6,66110,81610,7.5
ZCTA5 75409,6.2,7.2,90540,94254,8.4
ZCTA5 75410,5.3,10.7,65662,62454,9.9
ZCTA5 75411,10.2,12.5,77174,72772,9.9
ZCTA5 75412,13.8,12.9,44135,46645,11.2
ZCTA5 75413,22.1,25.6,-,52852,24.1
ZCTA5 75414,3.1,9.2,64500,79218,7.3
ZCTA5 75415,15.1,0,100083,123582,6.3
ZCTA5 75416,7,17.9,51771,68931,14.2
ZCTA5 75417,5.5,24.8,47045,59959,22.2
ZCTA5 75418,3.6,9.7,48850,74792,11.8
ZCTA5 75420,8.4,6.7,58750,72594,10.5
ZCTA5 75421,33.1,52.3,53929,63555,57.5
ZCTA5 75422,9.2,23.7,55332,71096,23
ZCTA5 75423,8.5,14.6,63107,79417,13.6
ZCTA5 75424,7,6.4,65893,86876,8.5
ZCTA5 75426,7.9,30.1,34790,43795,24.4
ZCTA5 75428,6.7,30,35407,53290,32
ZCTA5 75431,9,15.9,51875,62153,14.9
ZCTA5 75432,5.7,24.6,49107,71048,22.2
ZCTA5 75433,2.5,14.4,56042,71655,9.9
ZCTA5 75435,6,15.8,37059,44640,13.5
ZCTA5 75436,5.9,14.5,50909,60539,13.6
ZCTA5 75437,5.3,11.1,63333,72139,9.2
ZCTA5 75438,1.7,5.9,68393,76213,3.7
ZCTA5 75439,4.6,9,61000,70331,9.7
ZCTA5 75440,3.3,10.8,49979,78759,8.6
ZCTA5 75441,37.4,0,50964,49424,0
ZCTA5 75442,5.9,14.8,73405,84839,11.6
ZCTA5 75446,8.4,22.6,40057,56154,21.3
ZCTA5 75447,4.3,2.9,79792,96349,4.7
ZCTA5 75448,5.9,2.7,37568,52515,3.1
ZCTA5 75449,7,24.4,43125,52979,20
ZCTA5 75450,39.5,60,31771,56425,65.3
ZCTA5 75451,7.5,34.6,39292,53786,22.3
ZCTA5 75452,5.4,16.8,57500,74084,14.9
ZCTA5 75453,2.9,5.3,59587,68175,4.9
ZCTA5 75454,2.8,3.3,108889,124033,3.8
ZCTA5 75455,3.1,21.7,50170,62152,18.4
ZCTA5 75457,3.2,5.5,51395,76187,5.8
ZCTA5 75459,4.7,11,67554,76802,10.8
ZCTA5 75460,4.1,25.4,33704,46612,23.8
ZCTA5 75462,3,9.8,60422,81445,8.8
ZCTA5 75468,8.7,0,54458,63031,0
ZCTA5 75469,12.6,15,46500,58468,14.5
ZCTA5 75470,30.5,11.2,63319,55133,37.8
ZCTA5 75471,15.7,39,80278,108976,38
ZCTA5 75472,6.1,24.3,48011,60905,21
ZCTA5 75473,6,5.6,61667,78337,8.1
ZCTA5 75474,3.2,18.9,53468,64741,17.1
ZCTA5 75475,44.5,10.8,31250,35992,27.7
ZCTA5 75476,4.6,15.4,63688,78451,10.7
ZCTA5 75477,10.4,15.4,45556,73800,15.6
ZCTA5 75478,5.1,6,50313,64529,7.1
ZCTA5 75479,4.5,7,53185,62312,8.5
ZCTA5 75480,9.9,8.4,50833,62852,8.8
ZCTA5 75481,17.1,27.2,51029,58190,21.3
ZCTA5 75482,3,16.2,51311,70594,13.9
ZCTA5 75486,4,13.8,61269,66434,8.7
ZCTA5 75487,9.9,19.2,54355,62188,17
ZCTA5 75488,8.2,17.5,58359,62418,13.3
ZCTA5 75489,6.4,14,55147,61621,10.8
ZCTA5 75490,3.6,10.1,80172,85177,8.1
ZCTA5 75491,3.8,11.7,78319,85065,10.9
ZCTA5 75492,12.2,11.9,57125,68814,13.2
ZCTA5 75493,12.3,20.8,42891,50625,18.5
ZCTA5 75494,5.3,14.5,52733,74524,16.4
ZCTA5 75495,4.7,8,81804,103795,7.4
ZCTA5 75496,3.4,13.1,72944,77637,11.9
ZCTA5 75497,4.8,13.7,57549,71720,11.1
ZCTA5 75501,4,24.9,37983,58758,23.8
ZCTA5 75503,2.9,8.8,66706,101782,8.7
ZCTA5 75550,13.2,25.4,32381,44220,21.4
ZCTA5 75551,5.2,21.2,52546,64428,18.6
ZCTA5 75554,6,9.3,54750,65590,9.3
ZCTA5 75555,10.4,9.5,43433,65537,13.6
ZCTA5 75556,18.6,33.5,43000,56456,30.1
ZCTA5 75558,3.1,3.8,52292,68092,3
ZCTA5 75559,6.3,17.9,47917,66265,17.1
ZCTA5 75560,8,19.7,35000,49915,14.3
ZCTA5 75561,4.4,22.4,44415,54136,18.1
ZCTA5 75562,39.4,0,39271,41349,0
ZCTA5 75563,7.8,18.7,41346,51362,19.5
ZCTA5 75565,24.2,37.7,45486,65418,35.4
ZCTA5 75566,9.6,10.9,36429,50585,11.2
ZCTA5 75567,3,10.9,56303,66102,8.4
ZCTA5 75568,5.2,10.8,38825,47397,11
ZCTA5 75569,9.3,29,36382,44501,22.7
ZCTA5 75570,5.1,13.2,54194,64102,13.1
ZCTA5 75571,5.5,17,50375,68878,13.5
ZCTA5 75572,8.3,16,48750,57177,18.1
ZCTA5 75573,43.1,0,88380,76459,0
ZCTA5 75574,13.2,13,57297,59228,17.1
ZCTA5 75601,3.4,17.9,44725,68689,15.6
ZCTA5 75602,4.9,27.6,42530,64616,25
ZCTA5 75603,5.3,10.9,48565,68099,9.8
ZCTA5 75604,5.2,20.8,50729,69242,19.1
ZCTA5 75605,3,13.3,62132,87999,12.1
ZCTA5 75630,8,23.8,32429,53029,23.1
ZCTA5 75631,6,22.8,60144,68334,18.9
ZCTA5 75633,3.1,14.2,54789,71536,11
ZCTA5 75638,8.3,25.3,39960,54767,25
ZCTA5 75639,11.6,26.4,29891,50312,23.6
ZCTA5 75640,4.2,12.2,56923,68465,9.2
ZCTA5 75641,65.3,8.1,46607,50256,5.6
ZCTA5 75642,70.7,0,-,N,0
ZCTA5 75643,6.6,17.8,55563,74639,16.5
ZCTA5 75644,5.9,24.8,48548,64429,21.8
ZCTA5 75645,5.1,10.5,56924,78047,10.7
ZCTA5 75647,4.7,21.5,47850,73153,17.8
ZCTA5 75650,6.1,14.6,62582,79973,13.6
ZCTA5 75651,13,25,49707,66756,20.2
ZCTA5 75652,4.1,12.7,53253,73130,11.7
ZCTA5 75654,4.1,14.2,55050,66870,12.8
ZCTA5 75656,5.8,14.2,40576,49019,13.5
ZCTA5 75657,5,23.4,38518,61687,19.3
ZCTA5 75661,8.2,7.2,53596,95473,8.5
ZCTA5 75662,3.6,16.1,58471,67449,14.1
ZCTA5 75667,9.3,15.6,41208,70170,15.3
ZCTA5 75668,4.9,20.4,37500,49258,14.9
ZCTA5 75669,14.4,32,70035,67012,21.9
ZCTA5 75670,5.4,36.2,36208,49545,31.1
ZCTA5 75672,3.9,13,58175,75310,12.8
ZCTA5 75681,4.7,13.7,44964,75274,12
ZCTA5 75682,13.9,11.8,77344,94300,5.9
ZCTA5 75683,8.3,16.2,39602,49443,21.2
ZCTA5 75684,4.7,15.2,52599,73007,14.7
ZCTA5 75686,5.5,18.7,49167,62617,17.6
ZCTA5 75691,7.7,16.2,63160,71110,15.5
ZCTA5 75692,5.8,13.2,58155,68441,11.1
ZCTA5 75693,5.1,16.7,64216,85242,13.5
ZCTA5 75701,3.3,19.2,47543,70166,18.9
ZCTA5 75702,4,24.8,37345,49484,25.9
ZCTA5 75703,2.5,11.5,62544,91612,11.2
ZCTA5 75704,11.4,27.8,39959,53374,25.2
ZCTA5 75705,12,13.7,40065,53376,12.5
ZCTA5 75706,6.8,18.3,49982,59521,17.6
ZCTA5 75707,4.5,12.2,74077,95672,9.7
ZCTA5 75708,12.3,20.1,43056,49701,20.5
ZCTA5 75709,8.9,11.9,62682,85744,13.4
ZCTA5 75750,1.7,15.7,64250,82005,10
ZCTA5 75751,7.2,23.9,45423,67706,24.5
ZCTA5 75752,2.9,4.6,55328,67037,4.8
ZCTA5 75754,4.7,15.8,57000,71909,12.6
ZCTA5 75755,6.2,21.7,43767,62563,19.8
ZCTA5 75756,8.9,10.9,59375,79058,10.9
ZCTA5 75757,3.8,11.1,69628,88223,9.3
ZCTA5 75758,5.3,10.7,50807,67438,11.9
ZCTA5 75759,44.3,14.7,-,17287,24.1
ZCTA5 75760,10.4,19.8,49306,58738,16.4
ZCTA5 75762,4.7,9.6,71725,97157,8.3
ZCTA5 75763,4.2,16.7,58551,65955,13.3
ZCTA5 75764,10.2,9.7,61875,69310,8.6
ZCTA5 75765,4.6,17.4,48306,62532,15.6
ZCTA5 75766,2.5,18.8,46892,59427,17
ZCTA5 75770,6.7,9.3,62988,84645,9.4
ZCTA5 75771,4.8,10.3,69199,84336,11.2
ZCTA5 75773,6.3,17.1,52254,75501,18.2
ZCTA5 75778,8,15.7,39028,67127,16.7
ZCTA5 75779,41.4,44.3,-,65011,21.1
ZCTA5 75780,8.3,2.8,46429,52746,3.7
ZCTA5 75783,3.8,15.3,55039,68470,12.1
ZCTA5 75784,10.5,19.9,44188,60752,15.7
ZCTA5 75785,5.4,13.9,47743,58758,14
ZCTA5 75788,70.7,-,-,N,0
ZCTA5 75789,4.8,13.1,56036,71584,11.8
ZCTA5 75790,6.8,19.2,59250,74954,16.1
ZCTA5 75791,3.6,16.5,74886,83979,13.1
ZCTA5 75792,15.8,30.1,47946,58423,28.2
ZCTA5 75801,3.7,18.8,38674,51415,16.4
ZCTA5 75803,4.8,15.2,44183,60188,14.5
ZCTA5 75831,6,18.7,43292,59625,17.1
ZCTA5 75832,8.3,100,-,N,39.3
ZCTA5 75833,7.9,18,48098,103908,18.9
ZCTA5 75835,5.3,29.7,33292,50373,28
ZCTA5 75838,20.5,21,41583,64741,21.8
ZCTA5 75839,4.5,17,44856,54423,13.3
ZCTA5 75840,4.6,15.7,55000,75731,14.5
ZCTA5 75844,4.7,17.4,40890,55813,13.5
ZCTA5 75845,6.3,8.8,48880,64029,11
ZCTA5 75846,11.4,26.1,36903,65204,25.4
ZCTA5 75847,9.9,17.1,38011,49084,17.9
ZCTA5 75848,20,63.5,48125,50593,46
ZCTA5 75849,26.8,45.8,28125,26200,30.6
ZCTA5 75850,12.2,20.8,47321,57154,14.9
ZCTA5 75851,6.8,12.1,51780,57335,13.2
ZCTA5 75852,7,19.4,51250,73376,14.1
ZCTA5 75853,10.2,5.8,36034,59331,5.4
ZCTA5 75855,4.8,13.7,40529,58362,10.7
ZCTA5 75856,34.5,14.9,180727,141938,8.4
ZCTA5 75858,**,-,-,-,-
ZCTA5 75859,12.1,19,43885,68363,25.5
ZCTA5 75860,7.2,23.1,57208,73190,22.6
ZCTA5 75861,11.2,14.5,60000,60089,13.3
ZCTA5 75862,4.1,16.8,39466,55501,16.4
ZCTA5 75901,3.7,18.9,50813,64084,17.6
ZCTA5 75904,3.4,16.7,54306,65958,15.5
ZCTA5 75925,9.2,23.9,39461,56799,25.8
ZCTA5 75926,10.8,16.7,39868,58394,18.2
ZCTA5 75928,20.6,36.6,-,46546,29.4
ZCTA5 75929,8.6,21.1,62885,78443,16.1
ZCTA5 75930,11.5,38.4,29569,52612,33.2
ZCTA5 75931,11.8,15.3,46393,62167,20.2
ZCTA5 75932,11.9,14.5,48952,68161,17.9
ZCTA5 75933,14.6,33.3,43565,53280,26.5
ZCTA5 75934,5.2,0,84886,92714,0.9
ZCTA5 75935,5.5,23.9,43479,58853,22.6
ZCTA5 75936,7.2,12.7,52500,67330,11.9
ZCTA5 75937,4.4,12.4,37875,55989,10.5
ZCTA5 75938,6.5,9.4,42083,57475,10.9
ZCTA5 75939,7.3,24.5,45909,66387,24.1
ZCTA5 75941,6.8,26.7,47500,60672,23.7
ZCTA5 75942,34.2,22.4,-,N,13.1
ZCTA5 75943,15.5,12.6,45521,98109,15.8
ZCTA5 75944,10.7,16.8,42407,56584,18.9
ZCTA5 75946,6.6,18.8,41250,56864,16.3
ZCTA5 75948,5.6,21.5,33670,59248,20.2
ZCTA5 75949,5.9,24.1,34555,54177,19.9
ZCTA5 75951,4.9,27.2,40069,66961,21.8
ZCTA5 75954,5.8,26.2,42813,58103,20.7
ZCTA5 75956,9.2,25.7,42500,53110,26
ZCTA5 75959,4.3,0,51165,56707,1.1
ZCTA5 75960,31.3,67.1,-,40694,50.7
ZCTA5 75961,5.6,34.1,37092,55487,30.9
ZCTA5 75962,**,-,-,-,-
ZCTA5 75964,5,30.2,44857,58210,28.4
ZCTA5 75965,4,20.2,48597,74830,18.2
ZCTA5 75966,7.1,28.3,39375,52837,22.9
ZCTA5 75968,13.3,32.9,28138,47434,33.3
ZCTA5 75969,8.3,19.3,56250,64121,18.4
ZCTA5 75972,5.7,25.1,40171,50715,23.9
ZCTA5 75973,10.8,25.6,46703,65026,26.1
ZCTA5 75974,7.7,21.5,37809,52849,20.6
ZCTA5 75975,5.8,25.3,44228,59352,20.6
ZCTA5 75976,16.3,37.4,29958,50804,33.7
ZCTA5 75977,11,37.9,19643,24645,24.1
ZCTA5 75978,17.4,0,76310,76058,4.5
ZCTA5 75979,6.8,19.6,39063,53728,21.1
ZCTA5 75980,13.2,22,38365,54713,23.4
ZCTA5 76001,3,11.1,88135,105651,9.9
ZCTA5 76002,2.4,6.8,89512,103356,6.1
ZCTA5 76006,2.4,13.5,48116,71636,11.3
ZCTA5 76008,1.8,4.4,133297,158510,3.8
ZCTA5 76009,5.5,14.7,59978,72817,14.5
ZCTA5 76010,3.2,33.6,39073,50368,29.3
ZCTA5 76011,3.8,28.7,40102,54085,26.8
ZCTA5 76012,4.8,13.1,65022,91765,13.4
ZCTA5 76013,3,17.1,55166,76080,16.9
ZCTA5 76014,4,17.8,52588,59252,17
ZCTA5 76015,3.9,14.2,57274,71597,13.5
ZCTA5 76016,2.5,7.2,82490,110103,7.1
ZCTA5 76017,2.2,8.2,75525,92827,8.5
ZCTA5 76018,3.2,10.2,67962,78328,8.6
ZCTA5 76020,1.8,9.9,67674,86148,9.5
ZCTA5 76021,1.7,6.1,74148,90033,5.5
ZCTA5 76022,2.5,7.3,61129,75129,5.6
ZCTA5 76023,4.3,11.9,67452,80183,10.1
ZCTA5 76028,1.4,7.5,80435,100005,6.6
ZCTA5 76031,3.7,13.7,57366,72288,12.8
ZCTA5 76033,2.8,12.1,55938,73670,11.1
ZCTA5 76034,2.1,3.9,163315,217205,3.8
ZCTA5 76035,9.6,11.8,108274,154609,9.9
ZCTA5 76036,2.2,6.1,76355,89403,6.5
ZCTA5 76039,1.8,10.6,70748,89545,9
ZCTA5 76040,3.2,11.4,56997,73400,11.4
ZCTA5 76041,2.6,5.2,133629,105953,3.3
ZCTA5 76043,6.6,27.1,58144,77790,24.5
ZCTA5 76044,4.8,10.1,69067,74929,10.2
ZCTA5 76048,3.1,15.2,54429,77672,12.6
ZCTA5 76049,1.6,7.9,76113,99403,6.7
ZCTA5 76050,2.9,10.6,70234,80887,8.2
ZCTA5 76051,1.7,5.7,91131,117374,5.7
ZCTA5 76052,1.6,7.1,115397,136241,5.2
ZCTA5 76053,3.4,12.8,55711,74027,12.3
ZCTA5 76054,2.1,3.6,100988,117231,3.9
ZCTA5 76055,5.7,21.8,55208,69727,15.6
ZCTA5 76058,4.2,15.9,55973,70578,14.3
ZCTA5 76059,5.4,11.6,44179,58476,11.3
ZCTA5 76060,1.9,5.3,78500,101264,4.2
ZCTA5 76061,77.8,0,-,N,0
ZCTA5 76063,0.9,4.8,97533,116449,4.4
ZCTA5 76064,4.4,4.4,62969,91858,4.3
ZCTA5 76065,1.1,5.8,96483,121897,4.7
ZCTA5 76066,11.7,10.8,46862,67325,13.9
ZCTA5 76067,4.4,22.5,46238,59816,21.2
ZCTA5 76070,8.6,0,100972,107938,0
ZCTA5 76071,5,17.3,62865,87074,15.6
ZCTA5 76073,2.8,8.6,71286,86852,5.7
ZCTA5 76077,27.6,60.2,25833,59758,68.7
ZCTA5 76078,4.7,13.5,70323,86777,11.5
ZCTA5 76082,2.6,13.7,65080,76796,11.5
ZCTA5 76084,3.2,10.3,66205,79189,8.5
ZCTA5 76085,1.8,7.7,74819,94855,6
ZCTA5 76086,2.9,14.6,59098,69103,11.4
ZCTA5 76087,2.4,7.7,90780,110338,6.8
ZCTA5 76088,2.6,8.1,76432,90994,7.1
ZCTA5 76092,1.2,2.8,240507,301033,2.5
ZCTA5 76093,9.8,8.4,51316,63421,10.6
ZCTA5 76102,5.9,26,72560,98331,25.8
ZCTA5 76103,4.8,27,41972,56556,23.4
ZCTA5 76104,5.5,35.5,31450,48269,33.9
ZCTA5 76105,4.5,35.4,32296,40513,33.2
ZCTA5 76106,3.8,27.5,40148,48181,22.8
ZCTA5 76107,2.2,13.8,66259,115025,12.1
ZCTA5 76108,2,10,68860,89981,9.6
ZCTA5 76109,4.7,17.2,82640,139639,15.3
ZCTA5 76110,3.5,22.2,51665,73179,20.9
ZCTA5 76111,4.5,20.3,48989,59793,18.7
ZCTA5 76112,3.3,20.9,45308,61514,19.7
ZCTA5 76114,2.8,16.3,53689,62403,14.2
ZCTA5 76115,4.5,27.6,38929,46292,24.9
