zip_code,male_poverty_rate,female_poverty_rate,median_income,mean_income,poverty_rate
ZCTA5 76116,2.6,22,51068,73563,19.6
ZCTA5 76117,3.1,17.7,49353,60396,16
ZCTA5 76118,2.9,8.7,69848,92369,8
ZCTA5 76119,3.4,26.6,37130,48711,26.9
ZCTA5 76120,6.7,17,54012,66301,15.2
ZCTA5 76123,2.5,8.6,85710,97792,7.5
ZCTA5 76126,1.3,5.2,92827,124538,4.3
ZCTA5 76127,43.1,0,87833,84642,0
ZCTA5 76129,**,-,-,-,-
ZCTA5 76131,1.3,4.2,85312,94473,3.7
ZCTA5 76132,2.7,12,56655,94424,10.6
ZCTA5 76133,2.3,19.6,57710,72214,17.3
ZCTA5 76134,4,17.5,49493,64491,16.4
ZCTA5 76135,2.6,12.1,63672,89182,10.6
ZCTA5 76137,2.4,9.4,76877,89626,8.6
ZCTA5 76140,3.4,19,52119,67050,16.2
ZCTA5 76148,2.2,8.2,72572,80480,7.5
ZCTA5 76155,4.2,10.2,57912,65962,8.4
ZCTA5 76164,6.4,29.4,35984,46416,26.7
ZCTA5 76177,2.3,3.1,94352,101680,2.9
ZCTA5 76179,1.4,7.1,92742,105865,6.4
ZCTA5 76180,2.8,8.4,59140,75679,8.1
ZCTA5 76182,1.5,6.6,91998,118005,5.2
ZCTA5 76201,4,34.1,33035,45763,32
ZCTA5 76205,5.6,19.8,53949,74258,19.1
ZCTA5 76207,3.1,10.5,68255,88244,9.8
ZCTA5 76208,3.3,9.2,83358,103940,7.6
ZCTA5 76209,4.6,21.4,54438,65832,18.8
ZCTA5 76210,1.6,6.7,95499,106678,5.9
ZCTA5 76225,5.4,10.5,64545,88054,8.7
ZCTA5 76226,2,3.2,138467,169194,3.6
ZCTA5 76227,1.7,8,94235,110328,7.1
ZCTA5 76228,4.6,18.9,58542,72869,14.1
ZCTA5 76230,6.2,16.6,53490,69675,15.9
ZCTA5 76233,3.8,7.5,69107,83107,6.2
ZCTA5 76234,4.1,10.1,66409,90557,9.9
ZCTA5 76238,24.9,2.8,63333,66251,1.5
ZCTA5 76239,4.3,11,70739,88280,8.7
ZCTA5 76240,2.9,19.5,53045,73515,16.6
ZCTA5 76244,1.6,2.8,105182,116882,2.7
ZCTA5 76245,8.1,16.2,41406,55081,16.5
ZCTA5 76247,2.2,8.8,90971,108520,6.4
ZCTA5 76248,0.7,4.5,138519,170709,3
ZCTA5 76249,4.1,7.5,75139,80007,7.9
ZCTA5 76250,0.8,3.8,102917,103738,2.3
ZCTA5 76251,6,16.4,54091,74378,12.9
ZCTA5 76252,2.6,3.4,79737,101519,4.2
ZCTA5 76253,6.8,0,55313,81136,2.2
ZCTA5 76255,4.3,20.4,42543,60352,17
ZCTA5 76258,4.7,6.7,65492,83607,8.6
ZCTA5 76259,8.5,10.1,82875,88567,11.3
ZCTA5 76261,2.9,6.8,56250,64909,4.6
ZCTA5 76262,1.3,5.9,121352,154598,5
ZCTA5 76263,72.3,0,-,100488,0
ZCTA5 76264,3.8,6.7,68616,72110,5.6
ZCTA5 76265,10.9,7.6,45417,80411,12.2
ZCTA5 76266,3.6,8.1,73554,99481,7.3
ZCTA5 76268,22,18.6,42917,49541,20.9
ZCTA5 76270,7.4,11.4,69554,83239,9.9
ZCTA5 76271,7.6,7,75714,95574,8.7
ZCTA5 76272,4.6,7.2,67270,90785,5.6
ZCTA5 76273,4.7,12.3,65721,68663,10.7
ZCTA5 76301,3.7,32.7,29024,39324,30.6
ZCTA5 76302,4.6,25.8,45596,63798,21.7
ZCTA5 76305,4,11,64257,71241,12.5
ZCTA5 76306,4.4,21,45885,53149,19.8
ZCTA5 76308,3.2,19.3,53734,74136,16
ZCTA5 76309,3.9,17.9,48246,73357,16.5
ZCTA5 76310,3.4,7.8,67068,80397,8.1
ZCTA5 76311,2.6,1.4,65272,74188,1.7
ZCTA5 76351,7.3,21.1,47333,65411,17.5
ZCTA5 76354,5.4,13.1,50630,61732,14.1
ZCTA5 76357,5.7,2.6,51172,79981,4.1
ZCTA5 76360,7.6,24.1,36364,56262,21.7
ZCTA5 76363,14.3,28.7,61563,66328,23.6
ZCTA5 76364,4.4,10.2,50417,56906,6.3
ZCTA5 76365,5.4,14,49698,67642,14.8
ZCTA5 76366,9.7,20.6,51932,85326,18.2
ZCTA5 76367,1.5,9.8,63026,72688,6.3
ZCTA5 76370,7.4,14.8,58750,78911,10.4
ZCTA5 76371,8,18.7,49922,61861,16.1
ZCTA5 76372,10.4,34.3,46806,60621,26.1
ZCTA5 76373,6.7,8.5,34861,49552,6.5
ZCTA5 76374,8.8,12.8,48214,55336,15.7
ZCTA5 76377,8.4,20.4,36029,43306,16.4
ZCTA5 76379,11.6,17.6,61250,63510,14.4
ZCTA5 76380,4.8,12.4,41127,52593,11.6
ZCTA5 76384,4.1,21.1,44800,59557,19.7
ZCTA5 76388,9.2,17.3,48047,56041,14.9
ZCTA5 76389,3.1,5.9,74432,81338,5.3
ZCTA5 76401,4.7,22.7,52058,72601,20.3
ZCTA5 76402,**,-,-,-,-
ZCTA5 76424,5.9,26,44976,59486,21.7
ZCTA5 76426,3.4,14.4,51845,69040,12.6
ZCTA5 76427,10.6,19.4,50341,58273,18.6
ZCTA5 76429,13.6,52.9,-,59222,13.5
ZCTA5 76430,5.6,16.1,45268,59595,12.1
ZCTA5 76431,7,23.6,51707,64999,16.7
ZCTA5 76432,6.6,11.4,43781,59657,11.9
ZCTA5 76433,3.2,2.5,72946,90019,2.9
ZCTA5 76435,12.5,31,38125,54346,25.1
ZCTA5 76436,43.5,0,76250,77696,27.3
ZCTA5 76437,5.6,8.6,45536,68853,8.5
ZCTA5 76442,3.1,7.9,55531,64662,7
ZCTA5 76443,6.3,16.3,35743,47730,13.2
ZCTA5 76444,8.3,17.8,45054,59251,18.8
ZCTA5 76445,30.3,14,28320,45111,24.7
ZCTA5 76446,7.2,22.2,51563,76490,18.5
ZCTA5 76448,8.6,16.5,36250,76040,22.6
ZCTA5 76449,5.1,15,59796,82922,13.3
ZCTA5 76450,3.5,10.6,54873,75953,8.9
ZCTA5 76452,33.1,50,75000,N,40.4
ZCTA5 76453,5.2,8.8,61583,87465,8.7
ZCTA5 76454,13.1,28.1,35583,37883,31.2
ZCTA5 76455,8.1,14.6,53917,71671,18.2
ZCTA5 76457,5.4,10.6,39854,63555,10.8
ZCTA5 76458,5.2,21.4,49276,66533,18.8
ZCTA5 76459,17.4,20.8,91250,92589,18.1
ZCTA5 76460,21,0,75221,62075,7.3
ZCTA5 76462,2.6,8,81047,99936,5.6
ZCTA5 76463,7.5,7.1,37500,53642,7.8
ZCTA5 76464,17.6,26.5,51667,54524,26.3
ZCTA5 76466,51.7,0,-,N,0
ZCTA5 76469,25.6,19.2,34583,43104,21.5
ZCTA5 76470,8.5,17.1,32500,47096,17.4
ZCTA5 76471,5.8,15,37833,58085,13.7
ZCTA5 76472,15.1,5.1,58591,82620,7.4
ZCTA5 76474,4.5,9.4,63125,81819,5.8
ZCTA5 76475,12.2,14.7,41667,54723,16.6
ZCTA5 76476,5,12.6,68333,80565,10.8
ZCTA5 76481,32.7,59.8,26141,N,81.5
ZCTA5 76483,6.5,28.2,38698,61055,22.3
ZCTA5 76484,9.3,5.7,58571,81067,6.6
ZCTA5 76486,8.9,0,53654,69479,3.9
ZCTA5 76487,9.2,18.8,67574,88972,19.3
ZCTA5 76490,48.4,14.6,31563,46002,6.7
ZCTA5 76491,4.9,11.1,-,59974,9.8
ZCTA5 76501,3.3,21.3,46280,58726,20.3
ZCTA5 76502,2.1,10.2,71393,90284,8.9
ZCTA5 76504,4.5,25,42340,53177,22.7
ZCTA5 76508,**,-,-,-,-
ZCTA5 76511,8.3,15.1,41445,53650,15.4
ZCTA5 76513,2.5,14.1,67124,91499,11.2
ZCTA5 76518,4.4,6.3,48491,66890,6.4
ZCTA5 76519,18.6,0,48508,77112,0
ZCTA5 76520,8,21.8,40771,59216,24.4
ZCTA5 76522,2.8,14,53547,68580,12.5
ZCTA5 76523,**,-,-,-,-
ZCTA5 76524,3.6,5,63770,74235,6.2
ZCTA5 76525,6.6,6.5,55625,69879,8.4
ZCTA5 76527,6.2,14,54940,80699,13.6
ZCTA5 76528,3.8,12.5,51744,62272,12.9
ZCTA5 76530,7.8,16.1,55938,80695,16.1
ZCTA5 76531,7.1,22.5,54740,75722,20.4
ZCTA5 76534,5.9,17.9,60200,72907,15.7
ZCTA5 76537,2.9,5.4,79773,88645,4.9
ZCTA5 76538,5.2,19.4,82500,80446,12.5
ZCTA5 76539,2.4,9,66736,80228,7
ZCTA5 76541,4,28.7,31167,39201,26.2
ZCTA5 76542,2.3,10.6,62751,76235,10.5
ZCTA5 76543,3.1,20.3,41081,48982,18.4
ZCTA5 76544,3.4,19.4,45179,53444,16.7
ZCTA5 76548,2.5,15.4,74436,86610,12.8
ZCTA5 76549,2.6,15.5,52933,62853,12.5
ZCTA5 76550,4.2,13.9,54423,72649,13.4
ZCTA5 76554,5.3,11.8,57679,66235,11
ZCTA5 76556,1.8,3.3,52917,93585,3.3
ZCTA5 76557,5.9,10.9,64261,82679,11.8
ZCTA5 76559,9,10.6,55000,66097,13
ZCTA5 76561,8.4,13.9,68571,75313,11.4
ZCTA5 76565,34.7,0,38173,57259,0
ZCTA5 76566,31,2.3,61875,66788,1.2
ZCTA5 76567,6.2,17.5,51484,59103,14.8
ZCTA5 76569,8.6,8.6,66111,76885,10.9
ZCTA5 76570,6.9,35,46250,59124,26.3
ZCTA5 76571,5.3,6.4,85194,116759,7.4
ZCTA5 76573,100,0,-,N,0
ZCTA5 76574,3,16,54060,72036,12.7
ZCTA5 76577,6.2,11.7,60944,80219,11.5
ZCTA5 76578,5,7.9,70406,74651,8
ZCTA5 76579,6.4,9.1,63140,78816,10.4
ZCTA5 76596,**,-,-,-,-
ZCTA5 76597,**,-,-,-,-
ZCTA5 76598,**,-,-,-,-
ZCTA5 76599,**,-,-,-,-
ZCTA5 76621,2.1,6.9,77125,93385,4.3
ZCTA5 76622,2,8.3,58988,68214,5
ZCTA5 76623,12.3,10.8,66750,105863,11.2
ZCTA5 76624,9.2,20.5,73405,78805,15.9
ZCTA5 76626,6.8,12.8,56985,74846,12
ZCTA5 76627,3.1,7.4,62344,70143,6.2
ZCTA5 76628,27.2,0,28125,38293,14.8
ZCTA5 76629,7.6,20.7,42847,64145,20
ZCTA5 76630,7.4,18.6,77564,66412,14
ZCTA5 76631,6.8,12.6,70781,71063,9.8
ZCTA5 76632,11,10.2,44643,43123,15.1
ZCTA5 76633,2.6,3,94620,110667,3.3
ZCTA5 76634,5.3,18.3,55923,71346,15.3
ZCTA5 76635,9.6,23.9,38947,55889,22.6
ZCTA5 76636,4.4,10.1,58889,80135,9.8
ZCTA5 76637,9.2,23.6,50221,55291,17.4
ZCTA5 76638,3.4,6.4,80833,108754,6.1
ZCTA5 76639,7.5,15,43125,57263,13.1
ZCTA5 76640,16.3,36.5,41479,60884,30.4
ZCTA5 76641,7.2,24.2,40357,57414,21.2
ZCTA5 76642,4.7,19.8,45761,62479,17.9
ZCTA5 76643,2.5,8.1,72077,86287,7
ZCTA5 76645,3.1,13.2,48095,60437,12.5
ZCTA5 76648,8.1,23.6,53575,64708,22.9
ZCTA5 76649,5,15.3,46442,88289,11.4
ZCTA5 76650,31.4,0,54643,57628,0
ZCTA5 76651,4.2,9,56607,65043,9.5
ZCTA5 76652,12.1,19.3,45216,54516,23
ZCTA5 76653,9.6,16.6,52917,59381,16.1
ZCTA5 76654,23,31.5,27917,39295,33.8
ZCTA5 76655,3.7,7.2,97760,102349,7.3
ZCTA5 76656,5.5,11.1,57292,70751,10.5
ZCTA5 76657,4.3,8.9,80525,117816,7.2
ZCTA5 76660,6,13,50568,66557,10.9
ZCTA5 76661,10.8,39.9,24970,32541,44.5
ZCTA5 76664,6.9,16.1,46406,64978,16.5
ZCTA5 76665,6.7,20.6,49375,65051,18.8
ZCTA5 76666,11.8,21,51528,61360,16.4
ZCTA5 76667,5.5,21.4,44241,59233,22
ZCTA5 76670,7.5,17.3,47059,63841,14.3
ZCTA5 76671,7.4,16.9,48427,67152,15.4
ZCTA5 76673,20.9,36.6,47717,70504,33.5
ZCTA5 76676,29.4,4.9,52778,58544,2.8
ZCTA5 76678,15.9,15.5,40326,54629,13.8
ZCTA5 76679,12.8,17.8,56354,70882,19.8
ZCTA5 76680,27.3,0,-,90748,11.2
ZCTA5 76681,14.9,28,40556,55287,21.5
ZCTA5 76682,4.8,10.6,59609,68606,10.4
ZCTA5 76685,59.9,0,53824,46584,0
ZCTA5 76686,23.1,10.8,37500,51498,15.9
ZCTA5 76687,5.1,11.1,46220,59208,10.6
ZCTA5 76689,4.1,9.3,56741,71398,8.6
ZCTA5 76690,11.6,33.2,38036,63444,28.7
ZCTA5 76691,4.2,10,63881,75324,10.5
ZCTA5 76692,2.3,11.5,51409,75188,9.8
ZCTA5 76693,10.7,23.9,37500,50335,22.6
ZCTA5 76701,10.2,32.4,34500,63775,29.5
ZCTA5 76704,9.2,48.7,21398,29297,48.1
ZCTA5 76705,3,23.5,44338,54936,20.6
ZCTA5 76706,3.7,36.4,34070,51894,34.5
ZCTA5 76707,6.1,38.8,29235,43358,35.8
ZCTA5 76708,4.3,19.5,51432,67283,17.5
ZCTA5 76710,3.2,14.9,44983,67682,15.1
ZCTA5 76711,5.7,23.8,46926,54584,19.4
ZCTA5 76712,2.1,4.7,71929,92646,4.8
ZCTA5 76798,**,-,-,-,-
ZCTA5 76801,2.6,16.7,46388,67935,14.5
ZCTA5 76802,5.4,8.7,60250,74662,9.3
ZCTA5 76820,52.3,0,155714,169646,0
ZCTA5 76821,4.5,18.8,44643,57156,14.2
ZCTA5 76823,3.9,9.5,48807,60607,8.3
ZCTA5 76824,**,100,-,N,100
ZCTA5 76825,5.2,22.3,48017,58311,16.6
ZCTA5 76827,4.5,6,55313,65875,4.8
ZCTA5 76828,32.7,12.3,75313,68224,7.1
ZCTA5 76831,**,-,-,-,-
ZCTA5 76832,7.5,7.8,37000,92040,8.2
ZCTA5 76834,4.6,16.9,45706,57349,12.2
ZCTA5 76836,**,-,-,-,-
ZCTA5 76837,5.3,21.8,34844,51721,15.9
ZCTA5 76841,100,0,-,N,0
ZCTA5 76842,28.3,0,41579,43479,0
ZCTA5 76844,9.8,20.2,51000,69431,17.1
ZCTA5 76845,5,5.9,66563,91557,4.5
ZCTA5 76848,44,0,35125,31187,14.6
ZCTA5 76849,9.4,22,43231,69254,23.7
ZCTA5 76852,9.1,10.1,56607,68523,10.1
ZCTA5 76853,6.1,8.7,57963,62505,9.6
ZCTA5 76854,39,30.2,27019,38134,32.3
ZCTA5 76856,5.1,14.2,40170,65955,11.4
ZCTA5 76857,4.8,14.7,43261,92166,11.5
ZCTA5 76858,15.8,23.9,34306,44453,20.5
ZCTA5 76859,6.3,19.3,36059,50504,13.7
ZCTA5 76861,3.1,10.7,65313,85514,8.4
ZCTA5 76862,3.3,0,63833,65426,1
ZCTA5 76864,4.7,14.7,37543,59118,10.5
ZCTA5 76865,14.1,4.6,-,71304,6
ZCTA5 76866,9.4,7.2,73750,109490,7.8
ZCTA5 76869,41.4,0,30875,34786,28.1
ZCTA5 76870,21.4,16.3,56875,57956,19.6
ZCTA5 76871,9.7,11.6,55417,84634,13.4
ZCTA5 76872,7.4,14.8,56875,74774,13.9
ZCTA5 76873,63,12.9,58098,50012,6.7
ZCTA5 76874,**,-,-,-,-
ZCTA5 76875,2.4,8.5,45375,69295,5.5
ZCTA5 76877,6.2,18.7,44268,57003,15.7
ZCTA5 76878,5.1,23.2,51802,86638,16.2
ZCTA5 76882,16.2,32.6,34875,51981,27.1
ZCTA5 76884,39.7,10.7,46719,64646,21.7
ZCTA5 76885,34.2,7.4,-,51331,4.2
ZCTA5 76887,33.7,25.8,-,44218,23.2
ZCTA5 76888,27.6,16.7,-,33420,25.2
ZCTA5 76890,2.9,5.5,63542,85105,4.5
ZCTA5 76901,3.2,16.8,57406,79333,14.7
ZCTA5 76903,3.6,21.1,37455,51874,19
ZCTA5 76904,3,10.5,66454,91273,8.9
ZCTA5 76905,3.5,14.7,59042,68111,11.4
ZCTA5 76908,**,-,-,-,-
ZCTA5 76930,54.3,13.2,61250,54712,8.4
ZCTA5 76932,7.6,11.2,74342,79199,11
ZCTA5 76933,8.5,12.7,48548,59441,10.6
ZCTA5 76934,13.8,30.2,52813,62890,23.8
ZCTA5 76935,2.2,0.7,77829,99911,1.2
ZCTA5 76936,6.1,17.5,53229,61890,15.7
ZCTA5 76937,100,0,-,N,0
ZCTA5 76939,**,-,-,-,-
ZCTA5 76940,29.5,16.1,-,N,32.4
ZCTA5 76941,8.9,13,43594,63530,15.9
ZCTA5 76943,11.7,19.2,45568,60278,19.1
ZCTA5 76945,6.9,13.3,42895,53410,13.9
ZCTA5 76949,56.6,80,-,N,45.5
ZCTA5 76950,6.3,17.2,54271,67117,14.3
ZCTA5 76951,3.9,1.3,59868,73677,2.4
ZCTA5 76953,46.6,0,-,54822,0
ZCTA5 76955,36.9,0,94107,101149,0
ZCTA5 76957,32.4,0,-,N,0
ZCTA5 76958,35.4,3.2,-,109339,1.6
ZCTA5 77002,6.2,21.4,71369,89792,23.2
ZCTA5 77003,6.3,30.9,72295,86420,28.2
ZCTA5 77004,3.9,27.4,51309,86481,25
ZCTA5 77005,1.4,3.9,192380,292012,3.5
ZCTA5 77006,1.5,10,85956,124319,7.8
ZCTA5 77007,1.2,6.1,125653,162446,5.2
ZCTA5 77008,1.6,6.3,108644,149180,5.7
ZCTA5 77009,3,19.6,56316,104179,19.3
ZCTA5 77010,4.3,10.5,"250,000+",332364,6.7
ZCTA5 77011,5.1,39.8,31314,44398,35.7
ZCTA5 77012,4.5,26,39489,46942,23.5
ZCTA5 77013,4.5,28.4,38665,48824,24
ZCTA5 77014,4.2,19.5,50938,64015,19
ZCTA5 77015,2.5,26.4,47371,59223,21.6
ZCTA5 77016,3.1,29.6,36335,48324,26.6
ZCTA5 77017,2.6,21.6,49994,61315,19.1
ZCTA5 77018,3.9,15.5,90422,132929,16.1
ZCTA5 77019,3.1,10.9,116207,198854,9.6
ZCTA5 77020,4.2,33.6,32207,44868,32
ZCTA5 77021,4,32.6,37913,57534,28.9
ZCTA5 77022,4.4,35.8,31183,41305,32.8
ZCTA5 77023,3.1,29,41583,60425,26.1
ZCTA5 77024,1.1,8.7,123274,231787,6.7
ZCTA5 77025,3.2,11,76772,138187,11.4
ZCTA5 77026,5,37.7,28678,40111,33.9
ZCTA5 77027,3.9,7.7,98463,167437,7.5
ZCTA5 77028,5,34.5,29014,39111,29.2
ZCTA5 77029,5.4,29,38183,49064,27.3
ZCTA5 77030,5.4,12,90075,151750,12.6
ZCTA5 77031,4.9,27,48029,63700,21.4
ZCTA5 77032,9.1,43.4,32473,42445,41.1
ZCTA5 77033,4.4,29.3,38162,48118,27.9
ZCTA5 77034,4.1,19.6,51608,65337,17.8
ZCTA5 77035,4.1,24.4,44382,72574,22.8
ZCTA5 77036,3.1,37.6,30952,44323,33.3
ZCTA5 77037,6.4,33,43180,50378,28.5
ZCTA5 77038,3.8,30.5,41052,55348,27
ZCTA5 77039,4.1,37.1,36769,47955,33
ZCTA5 77040,2.7,13.4,59453,81016,12.6
ZCTA5 77041,2.8,10.9,87489,126119,8
ZCTA5 77042,4.1,19.7,49726,75008,18.4
ZCTA5 77043,3.5,14.8,64810,89510,13.7
ZCTA5 77044,2.4,11.6,80503,103518,10.3
ZCTA5 77045,3.5,15.9,57843,62731,14.8
ZCTA5 77046,6.7,0,87891,149501,1.3
ZCTA5 77047,3.9,13.3,67725,79048,12
ZCTA5 77048,5.9,28.6,41300,57521,24.3
ZCTA5 77049,3,14.4,62994,75898,12.5
ZCTA5 77050,9.9,20.3,48500,56709,20.8
ZCTA5 77051,6.9,34.6,30646,41735,35.3
ZCTA5 77053,4,22.6,50368,63969,21
ZCTA5 77054,5.2,22.9,50827,59606,21.2
ZCTA5 77055,2.9,23.8,55591,112018,22.1
ZCTA5 77056,2.3,6,108359,185984,5.9
ZCTA5 77057,3.2,18.5,62644,108814,15.7
ZCTA5 77058,4.4,16.5,55035,75558,16.3
ZCTA5 77059,1,4.6,139163,178023,3.4
ZCTA5 77060,3.4,38.7,31006,39386,33
ZCTA5 77061,3.7,22.5,41980,56529,20
ZCTA5 77062,2.8,9.4,95564,118962,8.4
ZCTA5 77063,3.5,20.6,46324,68273,21
ZCTA5 77064,2.5,15.7,71754,87645,12.8
ZCTA5 77065,2.4,10.8,57370,79226,9.8
ZCTA5 77066,2.7,16.1,61930,75083,13.6
ZCTA5 77067,3.2,26.5,43282,56581,24.1
ZCTA5 77068,3.8,13.2,83803,103548,11
ZCTA5 77069,4.5,8.1,67470,115316,7.7
ZCTA5 77070,2.8,9.4,66569,93230,9.4
ZCTA5 77071,3.3,15.9,48532,71151,14.8
ZCTA5 77072,2.8,24.3,41228,52712,21.8
ZCTA5 77073,3.6,13.4,50931,61281,12.6
ZCTA5 77074,3.3,34.3,42776,55379,28.3
ZCTA5 77075,2.9,18.2,54819,66471,15.8
ZCTA5 77076,5,35.3,38346,45310,30.9
ZCTA5 77077,2.3,11.6,65193,104344,10.9
ZCTA5 77078,9.2,16.2,40298,52149,18.5
ZCTA5 77079,4,10,91375,157297,9.1
ZCTA5 77080,3.1,24.8,48547,67780,23.5
ZCTA5 77081,3.5,38.7,33502,48860,35
ZCTA5 77082,2.8,18.7,51943,70804,17.1
ZCTA5 77083,2.8,14.9,54425,69610,14.4
ZCTA5 77084,2.2,12.1,64133,81091,12.1
ZCTA5 77085,3.8,11.9,57167,72340,11.7
ZCTA5 77086,4.8,24.5,48211,58608,21.5
ZCTA5 77087,3.1,26.6,39800,51094,24.1
ZCTA5 77088,2.5,24.3,42489,55566,20.8
ZCTA5 77089,2.6,13.2,69617,82203,12
ZCTA5 77090,3.9,25,39808,54696,21.6
ZCTA5 77091,3.4,29.1,36098,49347,25.1
ZCTA5 77092,4.9,33.6,39536,57528,31.5
ZCTA5 77093,3.4,39.8,31301,42152,36.5
ZCTA5 77094,2.1,1.9,178354,200909,2
ZCTA5 77095,2.8,6.5,92225,111124,7.2
ZCTA5 77096,3.4,13.3,65608,108815,13.1
ZCTA5 77098,2.7,7.5,91138,140778,7.3
ZCTA5 77099,2.8,23.7,40802,53560,22.4
ZCTA5 77201,**,-,-,-,-
ZCTA5 77301,3.1,21.4,46875,63828,19
ZCTA5 77302,3.6,15.3,77215,96599,12.3
ZCTA5 77303,4.6,15.3,55311,76594,13.3
ZCTA5 77304,3,8.5,64516,97019,7.9
ZCTA5 77306,6.4,17,50045,64657,16.2
ZCTA5 77316,1.7,5.8,103875,131493,5.2
ZCTA5 77318,4.5,9.5,61392,83734,9.3
ZCTA5 77320,3.5,17,51990,69287,14.1
ZCTA5 77326,72.3,0,-,N,59.5
ZCTA5 77327,4.8,21.7,42304,58526,20.1
ZCTA5 77328,6.3,16.6,53054,68698,15.3
ZCTA5 77331,5.6,11.3,43642,66312,11.7
ZCTA5 77334,25.5,0,42950,36303,5.3
ZCTA5 77335,4.3,12.1,55516,71343,9.1
ZCTA5 77336,3.7,11.4,68596,92458,10.2
ZCTA5 77338,2.9,12.5,56638,64541,11.7
ZCTA5 77339,3.5,10.1,75080,101554,9.2
ZCTA5 77340,5.3,35.1,36604,46297,32.3
ZCTA5 77342,**,-,-,-,-
ZCTA5 77345,0.6,2.4,137519,166489,1.8
ZCTA5 77346,1.2,7.8,104829,122737,5.9
ZCTA5 77350,44.9,19.2,-,55394,11.1
ZCTA5 77351,2.9,20.8,50318,67328,17.8
ZCTA5 77354,3.8,12.3,89489,128656,11.4
ZCTA5 77355,2.7,7.9,88042,110296,6.7
ZCTA5 77356,2.5,6.9,92378,124210,6.7
ZCTA5 77357,4.6,18.9,62321,91587,15.8
ZCTA5 77358,5.3,15.4,56250,74819,12.6
ZCTA5 77359,32.7,0,48472,47152,52.5
ZCTA5 77360,5.8,15.8,48186,54786,15.7
ZCTA5 77362,12.5,20.5,74681,93184,20
ZCTA5 77363,8.6,12.9,43316,71719,15.4
ZCTA5 77364,8,15.7,32240,50808,12.3
ZCTA5 77365,2.9,11.2,79320,110567,9.5
ZCTA5 77367,65.3,51.3,-,35393,30.3
ZCTA5 77368,35.7,0,-,55571,0
ZCTA5 77369,8.4,42.1,46064,55153,25.2
ZCTA5 77371,9.3,15.8,42348,54796,16.9
ZCTA5 77372,4.5,16.9,62245,69903,14
ZCTA5 77373,2.1,10.9,71424,81959,9.8
ZCTA5 77374,22.1,40.2,-,55368,31.5
ZCTA5 77375,3.1,8.6,78164,106194,7.5
ZCTA5 77376,20.4,19.8,39952,42011,16.3
ZCTA5 77377,1.4,3.7,96994,118064,3.6
ZCTA5 77378,9.4,22,55508,70285,20
ZCTA5 77379,1.2,6.1,103359,133424,5.6
ZCTA5 77380,1.9,9.1,73457,125276,8
ZCTA5 77381,1.4,7.4,117661,169446,5.6
ZCTA5 77382,1.3,2.9,138281,192481,2.4
ZCTA5 77384,3,5,87311,113682,5.7
ZCTA5 77385,3.5,5.2,95126,111079,5.7
ZCTA5 77386,1.3,5.8,114665,131809,4.4
ZCTA5 77388,2.4,5.9,93290,113457,6.6
ZCTA5 77389,1.6,7.2,126473,155695,5.3
ZCTA5 77396,3.2,13.1,69208,90677,10.9
ZCTA5 77401,1.3,2.2,193950,271532,2.3
ZCTA5 77406,2.7,5.8,124705,134723,6
ZCTA5 77407,2,5.7,101612,115746,5.2
ZCTA5 77412,65.3,0,-,N,0
ZCTA5 77414,3.1,22.6,51559,69035,19.3
ZCTA5 77415,48.9,0,-,N,0
ZCTA5 77417,15.3,23.9,44474,60599,23.9
ZCTA5 77418,4,12.8,60568,77377,11.3
ZCTA5 77419,18.1,14.1,51852,64441,18.3
ZCTA5 77420,5.4,8.3,55385,64264,6.3
ZCTA5 77422,3.9,14.8,56064,73860,12.8
ZCTA5 77423,4.3,15.1,61178,84329,13.6
ZCTA5 77426,10.7,14,72656,83830,14.9
